input,chain_of_thought,output
A car moves at 117 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 117 × 3 =,351 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 355 + 916?,Adding 355 to 916 gives...,1271
What is 355 - 916?,Subtracting 916 from 355 leaves...,-561
What is 355 × 916?,Multiplying 355 by 916 results in...,325180
What is 355 ÷ 916?,Dividing 355 by 916 gives...,0.39
If I have 18 apples and get 2 more...,18 apples + 2 apples = total...,20 apples
"Find the next number in the sequence: [9, 20, 12, 24]","The pattern increases by 11, so the next number is...",16
A car moves at 38 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 38 × 4 =,152 km
What is the capital of France?,The capital city of France is...,Paris
What is 704 + 108?,Adding 704 to 108 gives...,812
What is 704 - 108?,Subtracting 108 from 704 leaves...,596
What is 704 × 108?,Multiplying 704 by 108 results in...,76032
What is 704 ÷ 108?,Dividing 704 by 108 gives...,6.52
If I have 15 apples and get 3 more...,15 apples + 3 apples = total...,18 apples
"Find the next number in the sequence: [3, 6, 21, 36]","The pattern increases by 3, so the next number is...",13
A car moves at 102 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 102 × 5 =,510 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 765 + 618?,Adding 765 to 618 gives...,1383
What is 765 - 618?,Subtracting 618 from 765 leaves...,147
What is 765 × 618?,Multiplying 765 by 618 results in...,472770
What is 765 ÷ 618?,Dividing 765 by 618 gives...,1.24
If I have 5 apples and get 8 more...,5 apples + 8 apples = total...,13 apples
"Find the next number in the sequence: [9, 20, 18, 16]","The pattern increases by 11, so the next number is...",21
A car moves at 37 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 37 × 2 =,74 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 943 + 312?,Adding 943 to 312 gives...,1255
What is 943 - 312?,Subtracting 312 from 943 leaves...,631
What is 943 × 312?,Multiplying 943 by 312 results in...,294216
What is 943 ÷ 312?,Dividing 943 by 312 gives...,3.02
If I have 5 apples and get 8 more...,5 apples + 8 apples = total...,13 apples
"Find the next number in the sequence: [8, 10, 27, 36]","The pattern increases by 2, so the next number is...",17
A car moves at 73 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 73 × 3 =,219 km
What is the capital of France?,The capital city of France is...,Paris
What is 116 + 943?,Adding 116 to 943 gives...,1059
What is 116 - 943?,Subtracting 943 from 116 leaves...,-827
What is 116 × 943?,Multiplying 116 by 943 results in...,109388
What is 116 ÷ 943?,Dividing 116 by 943 gives...,0.12
If I have 9 apples and get 9 more...,9 apples + 9 apples = total...,18 apples
"Find the next number in the sequence: [6, 20, 12, 16]","The pattern increases by 14, so the next number is...",39
A car moves at 49 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 49 × 5 =,245 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 824 + 998?,Adding 824 to 998 gives...,1822
What is 824 - 998?,Subtracting 998 from 824 leaves...,-174
What is 824 × 998?,Multiplying 824 by 998 results in...,822352
What is 824 ÷ 998?,Dividing 824 by 998 gives...,0.83
If I have 19 apples and get 9 more...,19 apples + 9 apples = total...,28 apples
"Find the next number in the sequence: [8, 8, 18, 40]","The pattern increases by 0, so the next number is...",15
A car moves at 106 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 106 × 1 =,106 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 268 + 663?,Adding 268 to 663 gives...,931
What is 268 - 663?,Subtracting 663 from 268 leaves...,-395
What is 268 × 663?,Multiplying 268 by 663 results in...,177684
What is 268 ÷ 663?,Dividing 268 by 663 gives...,0.4
If I have 7 apples and get 5 more...,7 apples + 5 apples = total...,12 apples
"Find the next number in the sequence: [4, 2, 15, 32]","The pattern increases by -2, so the next number is...",13
A car moves at 103 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 103 × 3 =,309 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 638 + 46?,Adding 638 to 46 gives...,684
What is 638 - 46?,Subtracting 46 from 638 leaves...,592
What is 638 × 46?,Multiplying 638 by 46 results in...,29348
What is 638 ÷ 46?,Dividing 638 by 46 gives...,13.87
If I have 5 apples and get 9 more...,5 apples + 9 apples = total...,14 apples
"Find the next number in the sequence: [10, 16, 30, 40]","The pattern increases by 6, so the next number is...",51
A car moves at 41 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 41 × 2 =,82 km
What is the capital of France?,The capital city of France is...,Paris
What is 323 + 527?,Adding 323 to 527 gives...,850
What is 323 - 527?,Subtracting 527 from 323 leaves...,-204
What is 323 × 527?,Multiplying 323 by 527 results in...,170221
What is 323 ÷ 527?,Dividing 323 by 527 gives...,0.61
If I have 12 apples and get 9 more...,12 apples + 9 apples = total...,21 apples
"Find the next number in the sequence: [5, 2, 12, 40]","The pattern increases by -3, so the next number is...",32
A car moves at 63 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 63 × 1 =,63 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 327 + 168?,Adding 327 to 168 gives...,495
What is 327 - 168?,Subtracting 168 from 327 leaves...,159
What is 327 × 168?,Multiplying 327 by 168 results in...,54936
What is 327 ÷ 168?,Dividing 327 by 168 gives...,1.95
If I have 13 apples and get 3 more...,13 apples + 3 apples = total...,16 apples
"Find the next number in the sequence: [3, 20, 24, 12]","The pattern increases by 17, so the next number is...",67
A car moves at 45 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 45 × 4 =,180 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 677 + 119?,Adding 677 to 119 gives...,796
What is 677 - 119?,Subtracting 119 from 677 leaves...,558
What is 677 × 119?,Multiplying 677 by 119 results in...,80563
What is 677 ÷ 119?,Dividing 677 by 119 gives...,5.69
If I have 3 apples and get 6 more...,3 apples + 6 apples = total...,9 apples
"Find the next number in the sequence: [4, 12, 12, 16]","The pattern increases by 8, so the next number is...",18
A car moves at 35 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 35 × 4 =,140 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 452 + 53?,Adding 452 to 53 gives...,505
What is 452 - 53?,Subtracting 53 from 452 leaves...,399
What is 452 × 53?,Multiplying 452 by 53 results in...,23956
What is 452 ÷ 53?,Dividing 452 by 53 gives...,8.53
If I have 19 apples and get 7 more...,19 apples + 7 apples = total...,26 apples
"Find the next number in the sequence: [4, 10, 12, 8]","The pattern increases by 6, so the next number is...",56
A car moves at 47 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 47 × 5 =,235 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 172 + 798?,Adding 172 to 798 gives...,970
What is 172 - 798?,Subtracting 798 from 172 leaves...,-626
What is 172 × 798?,Multiplying 172 by 798 results in...,137256
What is 172 ÷ 798?,Dividing 172 by 798 gives...,0.22
If I have 3 apples and get 10 more...,3 apples + 10 apples = total...,13 apples
"Find the next number in the sequence: [3, 4, 3, 28]","The pattern increases by 1, so the next number is...",36
A car moves at 66 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 66 × 3 =,198 km
What is the capital of France?,The capital city of France is...,Paris
What is 779 + 618?,Adding 779 to 618 gives...,1397
What is 779 - 618?,Subtracting 618 from 779 leaves...,161
What is 779 × 618?,Multiplying 779 by 618 results in...,481422
What is 779 ÷ 618?,Dividing 779 by 618 gives...,1.26
If I have 8 apples and get 6 more...,8 apples + 6 apples = total...,14 apples
"Find the next number in the sequence: [1, 4, 15, 4]","The pattern increases by 3, so the next number is...",8
A car moves at 107 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 107 × 3 =,321 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 173 + 287?,Adding 173 to 287 gives...,460
What is 173 - 287?,Subtracting 287 from 173 leaves...,-114
What is 173 × 287?,Multiplying 173 by 287 results in...,49651
What is 173 ÷ 287?,Dividing 173 by 287 gives...,0.6
If I have 10 apples and get 6 more...,10 apples + 6 apples = total...,16 apples
"Find the next number in the sequence: [9, 12, 24, 12]","The pattern increases by 3, so the next number is...",33
A car moves at 90 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 90 × 4 =,360 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 263 + 893?,Adding 263 to 893 gives...,1156
What is 263 - 893?,Subtracting 893 from 263 leaves...,-630
What is 263 × 893?,Multiplying 263 by 893 results in...,234859
What is 263 ÷ 893?,Dividing 263 by 893 gives...,0.29
If I have 5 apples and get 1 more...,5 apples + 1 apples = total...,6 apples
"Find the next number in the sequence: [3, 12, 9, 8]","The pattern increases by 9, so the next number is...",59
A car moves at 78 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 78 × 2 =,156 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 651 + 722?,Adding 651 to 722 gives...,1373
What is 651 - 722?,Subtracting 722 from 651 leaves...,-71
What is 651 × 722?,Multiplying 651 by 722 results in...,470022
What is 651 ÷ 722?,Dividing 651 by 722 gives...,0.9
If I have 19 apples and get 10 more...,19 apples + 10 apples = total...,29 apples
"Find the next number in the sequence: [1, 10, 18, 36]","The pattern increases by 9, so the next number is...",34
A car moves at 82 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 82 × 1 =,82 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 945 + 778?,Adding 945 to 778 gives...,1723
What is 945 - 778?,Subtracting 778 from 945 leaves...,167
What is 945 × 778?,Multiplying 945 by 778 results in...,735210
What is 945 ÷ 778?,Dividing 945 by 778 gives...,1.21
If I have 2 apples and get 8 more...,2 apples + 8 apples = total...,10 apples
"Find the next number in the sequence: [2, 2, 12, 4]","The pattern increases by 0, so the next number is...",10
A car moves at 108 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 108 × 4 =,432 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 126 + 886?,Adding 126 to 886 gives...,1012
What is 126 - 886?,Subtracting 886 from 126 leaves...,-760
What is 126 × 886?,Multiplying 126 by 886 results in...,111636
What is 126 ÷ 886?,Dividing 126 by 886 gives...,0.14
If I have 7 apples and get 7 more...,7 apples + 7 apples = total...,14 apples
"Find the next number in the sequence: [5, 20, 15, 12]","The pattern increases by 15, so the next number is...",60
A car moves at 58 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 58 × 5 =,290 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 112 + 841?,Adding 112 to 841 gives...,953
What is 112 - 841?,Subtracting 841 from 112 leaves...,-729
What is 112 × 841?,Multiplying 112 by 841 results in...,94192
What is 112 ÷ 841?,Dividing 112 by 841 gives...,0.13
If I have 19 apples and get 7 more...,19 apples + 7 apples = total...,26 apples
"Find the next number in the sequence: [7, 14, 12, 16]","The pattern increases by 7, so the next number is...",47
A car moves at 76 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 76 × 3 =,228 km
What is the capital of France?,The capital city of France is...,Paris
What is 620 + 927?,Adding 620 to 927 gives...,1547
What is 620 - 927?,Subtracting 927 from 620 leaves...,-307
What is 620 × 927?,Multiplying 620 by 927 results in...,574740
What is 620 ÷ 927?,Dividing 620 by 927 gives...,0.67
If I have 11 apples and get 1 more...,11 apples + 1 apples = total...,12 apples
"Find the next number in the sequence: [7, 10, 24, 24]","The pattern increases by 3, so the next number is...",23
A car moves at 99 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 99 × 3 =,297 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 110 + 533?,Adding 110 to 533 gives...,643
What is 110 - 533?,Subtracting 533 from 110 leaves...,-423
What is 110 × 533?,Multiplying 110 by 533 results in...,58630
What is 110 ÷ 533?,Dividing 110 by 533 gives...,0.21
If I have 10 apples and get 2 more...,10 apples + 2 apples = total...,12 apples
"Find the next number in the sequence: [2, 10, 12, 40]","The pattern increases by 8, so the next number is...",18
A car moves at 69 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 69 × 4 =,276 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 636 + 554?,Adding 636 to 554 gives...,1190
What is 636 - 554?,Subtracting 554 from 636 leaves...,82
What is 636 × 554?,Multiplying 636 by 554 results in...,352344
What is 636 ÷ 554?,Dividing 636 by 554 gives...,1.15
If I have 15 apples and get 2 more...,15 apples + 2 apples = total...,17 apples
"Find the next number in the sequence: [5, 10, 15, 28]","The pattern increases by 5, so the next number is...",30
A car moves at 100 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 100 × 1 =,100 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 704 + 424?,Adding 704 to 424 gives...,1128
What is 704 - 424?,Subtracting 424 from 704 leaves...,280
What is 704 × 424?,Multiplying 704 by 424 results in...,298496
What is 704 ÷ 424?,Dividing 704 by 424 gives...,1.66
If I have 20 apples and get 9 more...,20 apples + 9 apples = total...,29 apples
"Find the next number in the sequence: [1, 10, 15, 32]","The pattern increases by 9, so the next number is...",24
A car moves at 90 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 90 × 5 =,450 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 560 + 733?,Adding 560 to 733 gives...,1293
What is 560 - 733?,Subtracting 733 from 560 leaves...,-173
What is 560 × 733?,Multiplying 560 by 733 results in...,410480
What is 560 ÷ 733?,Dividing 560 by 733 gives...,0.76
If I have 14 apples and get 5 more...,14 apples + 5 apples = total...,19 apples
